"a_o","codigo_comarca","codigo_muncipio","codigo_producto","codigo_provincia","comarca","cultivo","grupo_de_cultivo","municipio","n_total_arboles_diseminados","superficie_regad_o_en_producci_n","superficie_regad_o_que_no_pruduce","superficie_secano_en_producci_n","superficie_secano_que_no_pruduce"
"2010-01-01T00:00:00.000","6","2","0012/01","5","VALLE DEL TIETAR","MANZANO","FRUTALES","ADRADA (LA)","130",,,,
"2010-01-01T00:00:00.000","6","2","0012/10","5","VALLE DEL TIETAR","HIGUERA","FRUTALES","ADRADA (LA)","780",,,,
"2010-01-01T00:00:00.000","6","2","0012/12","5","VALLE DEL TIETAR","GRANADO","FRUTALES","ADRADA (LA)","7",,,,
"2010-01-01T00:00:00.000","6","2","0012/02","5","VALLE DEL TIETAR","PERAL","FRUTALES","ADRADA (LA)","100",,,,
"2010-01-01T00:00:00.000","6","2","0012/03","5","VALLE DEL TIETAR","MEMBRILLO","FRUTALES","ADRADA (LA)","12",,,,
"2010-01-01T00:00:00.000","6","2","0012/04","5","VALLE DEL TIETAR","NISPERO","FRUTALES","ADRADA (LA)","3",,,,
"2010-01-01T00:00:00.000","6","2","0012/06","5","VALLE DEL TIETAR","ALBARICOQUERO","FRUTALES","ADRADA (LA)","60",,,,
"2010-01-01T00:00:00.000","6","2","0012/07","5","VALLE DEL TIETAR","CEREZO Y GUINDO","FRUTALES","ADRADA (LA)","60",,,,
"2010-01-01T00:00:00.000","6","2","0012/08","5","VALLE DEL TIETAR","MELOCOTONERO","FRUTALES","ADRADA (LA)","57",,,,
"2010-01-01T00:00:00.000","6","2","0012/09","5","VALLE DEL TIETAR","CIRUELO","FRUTALES","ADRADA (LA)","50",,,,
"2010-01-01T00:00:00.000","6","2","0013/01","5","VALLE DEL TIETAR","VIÑEDO DE UVA MESA","VIÑEDO","ADRADA (LA)","10",,,,
"2010-01-01T00:00:00.000","6","2","0013/02","5","VALLE DEL TIETAR","VIÑEDO DE UVA VINO","VIÑEDO","ADRADA (LA)",,,,"52",
"2010-01-01T00:00:00.000","6","2","0014/02","5","VALLE DEL TIETAR","OLI ACEITUNA ACEITE","OLIVAR Y OTROS C.I.","ADRADA (LA)","30",,,"40",
"2010-01-01T00:00:00.000","1","5","0013/02","5","AREVALO-MADRIGAL","VIÑEDO DE UVA VINO","VIÑEDO","ALBORNOS",,,,"1",
"2010-01-01T00:00:00.000","3","7","0012/01","5","BARCO AVILA-PIEDRAHITA","MANZANO","FRUTALES","ALDEANUEVA DE SANTA CRUZ","15",,,,
"2010-01-01T00:00:00.000","3","7","0012/02","5","BARCO AVILA-PIEDRAHITA","PERAL","FRUTALES","ALDEANUEVA DE SANTA CRUZ","10",,,,
"2010-01-01T00:00:00.000","1","8","0013/02","5","AREVALO-MADRIGAL","VIÑEDO DE UVA VINO","VIÑEDO","ALDEASECA",,,,"2",
"2010-01-01T00:00:00.000","3","10","0012/01","5","BARCO AVILA-PIEDRAHITA","MANZANO","FRUTALES","ALDEHUELA (LA)","60",,,,
"2010-01-01T00:00:00.000","3","10","0012/19","5","BARCO AVILA-PIEDRAHITA","NOGAL","FRUTALES","ALDEHUELA (LA)","10",,,,
"2010-01-01T00:00:00.000","3","10","0012/02","5","BARCO AVILA-PIEDRAHITA","PERAL","FRUTALES","ALDEHUELA (LA)","20",,,,
"2010-01-01T00:00:00.000","3","10","0012/07","5","BARCO AVILA-PIEDRAHITA","CEREZO Y GUINDO","FRUTALES","ALDEHUELA (LA)","10",,,,
"2010-01-01T00:00:00.000","2","12","0012/01","5","AVILA","MANZANO","FRUTALES","AMAVIDA","40",,,,
"2010-01-01T00:00:00.000","2","12","0012/19","5","AVILA","NOGAL","FRUTALES","AMAVIDA","100",,,,
"2010-01-01T00:00:00.000","2","12","0012/02","5","AVILA","PERAL","FRUTALES","AMAVIDA","10",,,,
"2010-01-01T00:00:00.000","2","12","0012/06","5","AVILA","ALBARICOQUERO","FRUTALES","AMAVIDA","4",,,,
"2010-01-01T00:00:00.000","6","13","0012/01","5","VALLE DEL TIETAR","MANZANO","FRUTALES","ARENAL (EL)","500",,,,
"2010-01-01T00:00:00.000","6","13","0012/10","5","VALLE DEL TIETAR","HIGUERA","FRUTALES","ARENAL (EL)","250",,,,
"2010-01-01T00:00:00.000","6","13","0012/18","5","VALLE DEL TIETAR","ALMENDRO","FRUTALES","ARENAL (EL)","15",,,,
